stop_id,stop_name,routes
bus-abu-bakar-ali-953e3c6d,Halte Abu Bakar Ali,1B
bus-blok-o-rs-hardjolukito-882b9a9c,Halte Blok O (RS Hardjolukito),3A
bus-bulog-970050c0,Halte Bulog,11|13|2B|3A|4B|5A|5B
bus-cokroaminoto-sma-1-63bf5f7a,Halte Cokroaminoto SMA 1,11|13|2B|9
bus-gik-ugm-5b041db4,Halte GIK UGM,12|3A|4B
bus-gedong-kuning-657f51a3,Halte Gedong Kuning,2A|3A
bus-gedung-wanita-763bc43c,Halte Gedung Wanita,1A|4B|5B
bus-hotel-noola-1d14dbb7,Halte Hotel Noola,9
bus-hyundai-9b4bda77,Halte Hyundai,1A|1B|3B|5B
bus-jec-5c342f7d,Halte JEC,1B|3A
bus-janti-selatan-bawah-jembatan-04f06a52,Halte Janti Selatan (Bawah Jembatan),1A|5A|5B
bus-karanggede-044ebf69,Halte Karanggede,15
bus-kenari-1-4439a100,Halte Kenari 1,2A
bus-kol-sugiono-1-pujokusuman-ba46a3cf,Halte Kol. Sugiono 1 (Pujokusuman),2A|3A
bus-krisdosono-9dea3135,Halte Krisdosono,4A
bus-kusumanegara-gembira-loka-d17c1b91,Halte Kusumanegara (Gembira Loka),1B
bus-lpp-80c48bc4,Halte LPP,1A|5B
bus-mt-haryono-2-sma-n-7-f2748d4c,Halte MT Haryono 2 (SMA N 7),3B|9
bus-mt-haryono-2-sman-7-3e1dac42,Halte MT Haryono 2 (SMAN 7),11
bus-mall-sahid-j-walk-9eace41d,Halte Mall Sahid J-Walk,1B|5A
bus-muhammadiyah-3-cb194b98,Halte Muhammadiyah 3,4A|4B
bus-ngeksigondo-basen-66d681be,Halte Ngeksigondo Basen,2B
bus-ngeksigondo-diklat-pu-ba0f9bc7,Halte Ngeksigondo Diklat Pu,2A
bus-nitikan-3cd761a8,Halte Nitikan,3B
bus-pdin-c-simanjuntak-ab3e4ee7,Halte PDIN C Simanjuntak,4B
bus-psky-255eae47,Halte PSKY,2B|4A
bus-rru-instiper-2-ea07186b,Halte RRU Instiper 2,3A
bus-rs-dr-s-hardjolukito-f33f9e2c,Halte RS dr.S.HARDJOLUKITO,1B
bus-raya-kabunan-3b027ee4,Halte Raya Kabunan,14
bus-rsi-hidayatullah-f2e5ddcc,Halte Rsi Hidayatullah,2A
bus-smpn-11-eks-perpusda-7eb02814,Halte SMPN 11- Eks Perpusda,9
bus-simpang-nogotirto-a8516abc,Halte Simpang Nogotirto,13|8
bus-sugiono-2-940b3592,Halte Sugiono 2,2B|3B
bus-kenari-2-e7e409cf,Halte TJ Kenari 2,2B
bus-kotabaru-98a0964c,Halte TJ Kotabaru,11
bus-rru-binamarga-74dcd5b9,Halte TJ RRU (Binamarga),14|3B
bus-solo-sma-de-britto-38b4feb0,Halte TJ Solo (SMA De Britto),4A|5A
bus-solo-sma-debrito-1edde087,Halte TJ Solo (SMA Debrito),1A
bus-univeristas-ahmad-dahlan-0f60ec71,Halte TJ Univeristas Ahmad Dahlan,4A
bus-universitas-ahmad-dahlan-f6ee4d47,Halte TJ Universitas Ahmad Dahlan,4B
bus-hokben-jakal-w-08061330,Hokben Jakal (Barat),12|3B|4A
bus-hokben-jakal-e-d425d6fc,Hokben Jakal (Timur),12|3A|4B|5A
bus-hokben-jakal-barat-ea5e4cb6,Hokben Jakal Barat,5B
bus-hotel-vidi-w-54b7fd5e,Hotel Vidi (B),12
bus-indomaret-klajuran-d5ed150c,Indomaret Klajuran,13
bus-indomaret-klajuran-s-7a9d6d5c,Indomaret Klajuran (S),13
bus-indomaret-klajuran-n-05d831ba,Indomaret Klajuran (U),13
bus-indomaret-pokoh-w-2b09e1e7,Indomaret Pokoh (B),14
bus-indomaret-pokoh-sambiroto-825fb845,Indomaret Pokoh Sambiroto,14
bus-indomaret-pokoh-sambiroto-2-8c35c082,Indomaret Pokoh Sambiroto 2,14
bus-jih-b7958843,JIH,3B|5B
bus-jalan-colombo-panti-raph-97207924,JL Colombo (Panti Raph),12
bus-jalan-colombo-panti-rapih-bfea009f,JL Colombo (Panti Rapih),2B
bus-jadan-1-942625db,Jadan 1,6
bus-jadan-2-a581f4d4,Jadan 2,6
bus-jalan-perintis-kemerdekaan-08047d39,Jl. Perintis Kemerdekaan,2A
bus-jalan-perintis-kemerdekaan-s-0ce14968,Jl. Perintis Kemerdekaan (Selatan),2B
bus-jalan-raya-kabunan-n-69a2aa61,Jl. Raya Kabunan (U),14
bus-jlagran-402c26ac,Jlagran,1B|3B|8|EV3
bus-jogja-city-mall-w-5608534c,Jogja City Mall (Barat),5B|9|EV3
bus-jogja-city-mall-e-58185771,Jogja City Mall (Timur),5A|9|EV3
bus-jogjatronik-061d67dd,Jogjatronik,2A
bus-kppn-jalan-cendana-52add500,KPPN (Jl. Cendana),2A
bus-ks-tubun-aa0fe678,KS Tubun,1B
bus-kua-depok-w-f1a5344e,KUA Depok (B),14
bus-kua-depok-e-f2c00954,KUA Depok (T),14
bus-kampus-unriyo-445e1f15,Kampus Unriyo,14
bus-kampus-unriyo-2-3037d304,Kampus Unriyo 2,14
bus-kantor-badan-kesatuan-bangsa-politik-c2b0ae66,Kantor Badan Kesatuan Bangsa & Politik,15
bus-kantor-badan-kesatuan-bangsa-politik-hal-a008e6f1,Kantor Badan Kesatuan Bangsa & Politik (Halte 2),15
bus-kantor-camat-ngaglik-91c4f095,Kantor Camat Ngaglik,12
bus-kantor-desa-sidoarum-bf0f3167,Kantor Desa Sidoarum,13
bus-kantor-desa-wedomartani-ca280dac,Kantor Desa Wedomartani,14
bus-kantor-desa-wedomartani-halte-2-8ca3a4ae,Kantor Desa Wedomartani (Halte 2),14
bus-kantor-kal-sidoarum-s-5d651e88,Kantor Kal. Sidoarum (S),13
bus-kantor-kal-sidoarum-n-075c84d5,Kantor Kal. Sidoarum (U),13
bus-kantor-kal-wedomartani-w-b2444079,Kantor Kal. Wedomartani (B),14
bus-kantor-kal-wedomartani-e-69397429,Kantor Kal. Wedomartani (T),14
bus-kantor-kecamatan-godean-c51005b9,Kantor Kecamatan Godean,13
bus-kantor-kecamatan-godean-halte-2-b731f16c,Kantor Kecamatan Godean (Halte 2),13
bus-kantor-kesehatan-pelabuhan-yogya-46efdf82,Kantor Kesehatan Pelabuhan Yogya,14|3A
bus-kantor-pos-demak-ijo-9a532390,Kantor Pos Demak Ijo,13|8
bus-kantor-pos-demak-ijo-s-7564089a,Kantor Pos Demak Ijo (S),13
