stop_name,candidate_activity_id,candidate_name,longitude,latitude,routes,score
TPB Jl. Solo Kalasan,6a82dd1338bb192425f4f6cf,Halte Trans Jogja - Jl. Solo (Maguwo),110.43091366895266,-7.783398800192629,1A,0.611429
Karangwaru (T),6a8285bc70c999b67933e189,Halte Trans Jogja - Karang Waru A,110.36132785396217,-7.772231270094686,EV3,
Maguwo Sambilegi (U),6a89603752d86e03b5187006,Halte Trans Jogja - Maguwo Sambilegi,110.43107793646948,-7.783381604426211,14,1.000000
TPB RRU Manggung,6a82e20938bb192425f4fbc3,Halte Trans Jogja - Manggung,110.3863386914378,-7.758157195755828,2A|3A|4B|5A,0.680000
Monjali (Selatan),6a8432efbb859bd06d94f679,Halte Trans Jogja - Monjali A,110.36769187033116,-7.750480947112415,2A|2B|5A,0.725000
Monjali (Utara),6a8432efbb859bd06d94f679,Halte Trans Jogja - Monjali A,110.36769187033116,-7.750480947112415,2A|2B|5B,0.725000
PDAM Monjali,6a842c273dbe4dacc783d981,Halte Trans Jogja - PDAM Monjali A,110.36989656329786,-7.755990960135563,2A|5B,0.820513
PDAM Monjali (Barat),6a842c273dbe4dacc783d981,Halte Trans Jogja - PDAM Monjali A,110.36989656329786,-7.755990960135563,2B|5A,0.820513
Pakuwon Mall (Selatan),6a82df994fd70be4125d2a71,Halte Trans Jogja - Pakuwon Mall A,110.39951833893446,-7.758275267444745,3A|5A,0.820513
Pakuwon Mall (Utara),6a82df994fd70be4125d2a71,Halte Trans Jogja - Pakuwon Mall A,110.39951833893446,-7.758275267444745,3B|5B,0.820513
SMK N 3,6a828f544fd70be4125ccb42,Halte Trans Jogja - SMK N 3 Yogyakarta,110.3667686316013,-7.777989337320522,2B|5A,0.636000
SMP N 6,6a8293484fd70be4125cd110,Halte Trans Jogja - SMP N 6 Yogyakarta,110.36691755255441,-7.7780981116151,5B,0.636000
Halte Stikes Guna Bangsa,6a82da6f38bb192425f4f346,Halte Trans Jogja - Stiekes Guna Bangsa,110.4089714942125,-7.760718057518275,3B|5B,0.783784
TVRI (T),6a82820238bb192425f486c2,Halte Trans Jogja - TVRI A,110.3617426750921,-7.765335064352419,5A|9|EV3,0.680000
TVRI (Barat),6a82820238bb192425f486c2,Halte Trans Jogja - TVRI A,110.3617426750921,-7.765335064352419,5B|9,0.680000
TVRI (B),6a82835d70c999b67933de3c,Halte Trans Jogja - TVRI B,110.36154970733827,-7.765368671949033,EV3,0.680000
Halte UPN Veteran,6a82dc184fd70be4125d2627,Halte Trans Jogja - UPN Veteran Yogyakarta,110.40806741092467,-7.760728614312441,3A|5A,0.666667
Tugu Adipura Bantul (Polres Bantul),6a829fb54fd70be4125ce16f,Halte Tugu Adipura Bantul,110.32701870074868,-7.8891973101476935,15,0.738462
Halte Tugu Adipura Bantul (Halte 2),6a829fb54fd70be4125ce16f,Halte Tugu Adipura Bantul,110.32701870074868,-7.8891973101476935,15,0.735652
TPB UAD Ringroad Selatan 2,6a8d37e352d86e03b51a8a8b,Halte UAD Ring Road Selatan A,110.38305739882435,-7.835201499990965,11|9,0.674286
TPB UAD Ringroad Selatan 1,6a8d37e352d86e03b51a8a8b,Halte UAD Ring Road Selatan A,110.38305739882435,-7.835201499990965,11|9,0.674286
